t,mode,stimulus,sync,meanB,damage,phi,q_obs,q_status,hcr_L2R,hcr_R2L,q_res,dilatacion,energia,lyapunov,stochastic_noise,topological_collapse,causal_failure,clinical_phase,perm_entropy,betti_1,De,pred1_code,pred1_p,pred2_code,pred2_p,pred3_code,pred3_p,guards_fired,ai_action,ai_reward
15.744897,bio,0.000000,0.607240,8.103409,0.000000,0.607240,0.000000,ONLINE_RIGETTI,0.000000,0.000000,0.283893,7.000000,0.937812,0.000000,0.283893,0.320000,0.000000,METÁSTASIS (ICTAL) | De: 0.00 | Betti: 21.62,0.000000,21.617737,0.000000,E1,0.200000,E2,0.200000,E3,0.200000,,0,0.00
16.119636,bio,0.000000,2.076437,2.544299,0.000000,2.076437,0.000000,ONLINE_RIGETTI,0.000000,0.000000,1.229855,7.000000,1.071508,0.000000,1.229855,0.320000,0.000000,METÁSTASIS (ICTAL) | De: 0.00 | Betti: 0.00,0.000000,0.000000,0.000000,E1,0.200000,E2,0.200000,E3,0.200000,,0,0.00
16.543485,bio,0.000000,2.013085,3.271165,0.000000,2.013085,0.000000,ONLINE_RIGETTI,0.000000,0.000000,1.229855,7.000000,1.210843,-0.022606,1.229855,0.320000,0.000000,METÁSTASIS (ICTAL) | De: 0.00 | Betti: 0.00,0.000000,0.000000,0.000000,E1,0.200000,E2,0.200000,E3,0.200000,,0,0.00
16.932705,bio,0.000000,1.041862,1.006966,0.000000,1.041862,0.000000,ONLINE_RIGETTI,0.000000,0.000000,1.229855,7.000000,1.355283,-0.022783,1.229855,0.320000,0.000000,METÁSTASIS (ICTAL) | De: 0.00 | Betti: 37.09,0.000000,37.090273,0.000000,E1,0.200000,E2,0.200000,E3,0.200000,,0,0.00
17.341825,bio,0.000000,1.570240,1.957132,0.000000,1.570240,0.000000,ONLINE_RIGETTI,0.000000,0.000000,1.229855,7.000000,1.504321,-0.022939,1.229855,0.320000,0.000000,METÁSTASIS (ICTAL) | De: 0.00 | Betti: 56.53,0.000000,56.525656,0.000000,E2,1.000000,E5,0.000000,E1,0.000000,E1,0,0.00
17.751440,bio,0.000000,3.296919,6.303034,0.000000,3.296919,0.000000,ONLINE_RIGETTI,0.000000,0.000000,1.794156,7.000000,1.657475,-0.023089,1.794156,0.320000,0.000000,METÁSTASIS (ICTAL) | De: 0.00 | Betti: 0.00,0.000000,0.000000,0.000000,E2,1.000000,E5,0.000000,E1,0.000000,E1,0,0.00
18.151311,bio,0.000000,2.462784,4.875800,0.000000,2.462784,0.000000,ONLINE_RIGETTI,0.000000,0.000000,1.794156,7.000000,1.814285,-0.023247,1.794156,0.320000,0.000000,METÁSTASIS (ICTAL) | De: 0.00 | Betti: 0.00,0.000000,0.000000,0.000000,E2,1.000000,E5,0.000000,E1,0.000000,E1,0,0.00
18.557666,bio,0.000000,3.178686,5.748593,0.000000,3.178686,0.000000,ONLINE_RIGETTI,0.000000,0.000000,1.794156,7.000000,1.974311,-0.023428,1.794156,0.320000,0.000000,METÁSTASIS (ICTAL) | De: 0.00 | Betti: 0.00,0.000000,0.000000,0.000000,E5,0.999913,E2,0.000087,E1,0.000000,E1,0,0.00
18.968042,bio,0.000000,2.081613,3.208571,0.000000,2.081613,0.000000,ONLINE_RIGETTI,0.000000,0.000000,1.794156,7.000000,2.137130,-0.023649,1.794156,0.320000,0.000000,METÁSTASIS (ICTAL) | De: 0.00 | Betti: 0.00,0.000000,0.000000,0.000000,E2,0.983760,E5,0.016240,E1,0.000000,E1,0,0.00
33.586058,bio,0.000000,2.030582,2.648919,0.000000,2.030582,0.000000,ONLINE_RIGETTI,0.000000,0.000000,0.297305,7.000000,0.937812,2.162302,0.297305,0.320000,10.811512,METÁSTASIS (ICTAL) | De: 0.00 | Betti: 0.00,0.833915,0.000000,0.000000,E1,0.200000,E2,0.200000,E3,0.200000,,0,0.00
